"No.","Time","Source","Destination","Protocol","Length","Info"
"133","60.532958100","::1","::1","TCP","64","64160  >  80 [ACK] Seq=1 Ack=1 Win=2618880 Len=0"
"134","60.533194000","::1","::1","HTTP","1064","POST /interface/main/main_screen.php?auth=login&site=default HTTP/1.1  (application/x-www-form-urlencoded)"
"135","60.533229500","::1","::1","TCP","64","80  >  64159 [ACK] Seq=1 Ack=1001 Win=2618880 Len=0"
"136","60.637675700","::1","::1","HTTP","1082","HTTP/1.1 200 OK  (text/html)"
"137","60.637698800","::1","::1","TCP","64","64159  >  80 [ACK] Seq=1001 Ack=1019 Win=2617856 Len=0"
"138","60.665660500","::1","::1","HTTP","910","GET /interface/login_screen.php?error=1&site= HTTP/1.1 "
"139","60.665699800","::1","::1","TCP","64","80  >  64159 [ACK] Seq=1019 Ack=1847 Win=2618112 Len=0"
"140","60.720721400","::1","::1","HTTP","721","HTTP/1.1 200 OK  (text/html)"
"141","60.720745000","::1","::1","TCP","64","64159  >  80 [ACK] Seq=1847 Ack=1676 Win=2617088 Len=0"
"142","60.745696400","::1","::1","HTTP","894","GET /interface/login/login.php?site=default HTTP/1.1 "
"143","60.745737100","::1","::1","TCP","64","80  >  64159 [ACK] Seq=1676 Ack=2677 Win=2617088 Len=0"
"144","60.832552700","::1","::1","TCP","4152","80  >  64159 [PSH, ACK] Seq=1676 Ack=2677 Win=2617088 Len=4088 [TCP PDU reassembled in 146]"
"145","60.832585900","::1","::1","TCP","64","64159  >  80 [ACK] Seq=2677 Ack=5764 Win=2612992 Len=0"
"146","60.832623400","::1","::1","HTTP","3108","HTTP/1.1 200 OK  (text/html)"
"147","60.832634100","::1","::1","TCP","64","64159  >  80 [ACK] Seq=2677 Ack=8808 Win=2610176 Len=0"
"148","60.912411700","::1","::1","HTTP","828","GET /interface/product_registration/product_registration_controller.php HTTP/1.1 "
"149","60.912447800","::1","::1","TCP","64","80  >  64159 [ACK] Seq=8808 Ack=3441 Win=2616320 Len=0"
"150","60.969000500","::1","::1","HTTP/JSON","625","HTTP/1.1 200 OK , JSON (application/json)"
"151","60.969025900","::1","::1","TCP","64","64159  >  80 [ACK] Seq=3441 Ack=9369 Win=2609408 Len=0"
"152","65.974094300","::1","::1","TCP","64","80  >  64159 [FIN, ACK] Seq=9369 Ack=3441 Win=2616320 Len=0"
"153","65.974120400","::1","::1","TCP","64","64159  >  80 [ACK] Seq=3441 Ack=9370 Win=2609408 Len=0"
"154","66.962933300","::1","::1","TCP","64","64159  >  80 [FIN, ACK] Seq=3441 Ack=9370 Win=2609408 Len=0"
"155","66.962951600","::1","::1","TCP","64","80  >  64159 [ACK] Seq=9370 Ack=3442 Win=2616320 Len=0"
"156","66.963285000","::1","::1","TCP","76","64165  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=65475 WS=256 SACK_PERM"
"157","66.963323500","::1","::1","TCP","76","80  >  64165 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65475 WS=256 SACK_PERM"
"158","66.963352400","::1","::1","TCP","64","64165  >  80 [ACK] Seq=1 Ack=1 Win=2618880 Len=0"
"159","66.980638400","::1","::1","HTTP","1063","POST /interface/main/main_screen.php?auth=login&site=default HTTP/1.1  (application/x-www-form-urlencoded)"
"160","66.980665100","::1","::1","TCP","64","80  >  64160 [ACK] Seq=1 Ack=1000 Win=2618880 Len=0"
"161","67.079530200","::1","::1","HTTP","1082","HTTP/1.1 200 OK  (text/html)"
"162","67.079581600","::1","::1","TCP","64","64160  >  80 [ACK] Seq=1000 Ack=1019 Win=2617856 Len=0"
"163","67.117365500","::1","::1","HTTP","910","GET /interface/login_screen.php?error=1&site= HTTP/1.1 "
"164","67.117406700","::1","::1","TCP","64","80  >  64160 [ACK] Seq=1019 Ack=1846 Win=2618112 Len=0"
"165","67.174683100","::1","::1","HTTP","721","HTTP/1.1 200 OK  (text/html)"
"166","67.174709200","::1","::1","TCP","64","64160  >  80 [ACK] Seq=1846 Ack=1676 Win=2617088 Len=0"
"167","67.204401600","::1","::1","HTTP","894","GET /interface/login/login.php?site=default HTTP/1.1 "
"168","67.204446100","::1","::1","TCP","64","80  >  64160 [ACK] Seq=1676 Ack=2676 Win=2617088 Len=0"
"169","67.302250700","::1","::1","TCP","4152","80  >  64160 [PSH, ACK] Seq=1676 Ack=2676 Win=2617088 Len=4088 [TCP PDU reassembled in 171]"
"170","67.302280000","::1","::1","TCP","64","64160  >  80 [ACK] Seq=2676 Ack=5764 Win=2612992 Len=0"
"171","67.302316400","::1","::1","HTTP","3108","HTTP/1.1 200 OK  (text/html)"
"172","67.302331200","::1","::1","TCP","64","64160  >  80 [ACK] Seq=2676 Ack=8808 Win=2610176 Len=0"
"173","67.386889900","::1","::1","HTTP","828","GET /interface/product_registration/product_registration_controller.php HTTP/1.1 "
"174","67.386926400","::1","::1","TCP","64","80  >  64160 [ACK] Seq=8808 Ack=3440 Win=2616320 Len=0"
"175","67.451705600","::1","::1","HTTP/JSON","625","HTTP/1.1 200 OK , JSON (application/json)"
"176","67.451741600","::1","::1","TCP","64","64160  >  80 [ACK] Seq=3440 Ack=9369 Win=2609408 Len=0"
"177","72.456592200","::1","::1","TCP","64","80  >  64160 [FIN, ACK] Seq=9369 Ack=3440 Win=2616320 Len=0"
"178","72.456619500","::1","::1","TCP","64","64160  >  80 [ACK] Seq=3440 Ack=9370 Win=2609408 Len=0"
"179","77.065080200","::1","::1","TCP","64","64160  >  80 [FIN, ACK] Seq=3440 Ack=9370 Win=2609408 Len=0"
"180","77.065111900","::1","::1","TCP","64","80  >  64160 [ACK] Seq=9370 Ack=3441 Win=2616320 Len=0"
"181","77.065307500","::1","::1","TCP","76","64170  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=65475 WS=256 SACK_PERM"
"182","77.065341200","::1","::1","TCP","76","80  >  64170 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65475 WS=256 SACK_PERM"
"183","77.065362100","::1","::1","TCP","64","64170  >  80 [ACK] Seq=1 Ack=1 Win=2618880 Len=0"
"184","77.065624600","::1","::1","HTTP","1072","POST /interface/main/main_screen.php?auth=login&site=default HTTP/1.1  (application/x-www-form-urlencoded)"
"185","77.065646300","::1","::1","TCP","64","80  >  64165 [ACK] Seq=1 Ack=1009 Win=2618880 Len=0"
"186","77.173402400","::1","::1","HTTP","1084","HTTP/1.1 200 OK  (text/html)"
"187","77.173425000","::1","::1","TCP","64","64165  >  80 [ACK] Seq=1009 Ack=1021 Win=2617856 Len=0"
"188","77.207550800","::1","::1","HTTP","912","GET /interface/login_screen.php?error=1&site= HTTP/1.1 "
